Chromosome Name	Ensembl Gene ID	Ensembl Transcript ID	Ensembl Exon ID	Exon Chr Start (bp)	Exon Chr End (bp)	5' UTR Start	5' UTR End	3' UTR Start	3' UTR End	Strand	Exon Rank in Transcript
1	ENSG00000177000	ENST00000376592	ENSE00001471080	11862938	11863302	11863174	11863302			-1	1
1	ENSG00000177000	ENST00000376592	ENSE00001225848	11861218	11861456					-1	2
1	ENSG00000177000	ENST00000376592	ENSE00001225838	11860269	11860379					-1	3
1	ENSG00000177000	ENST00000376592	ENSE00001225832	11856263	11856456					-1	4
1	ENSG00000177000	ENST00000376592	ENSE00001225825	11855155	11855405					-1	5
1	ENSG00000177000	ENST00000376592	ENSE00001225817	11854786	11854920					-1	6
1	ENSG00000177000	ENST00000376592	ENSE00001225813	11854415	11854595					-1	7
1	ENSG00000177000	ENST00000376592	ENSE00001225805	11853964	11854146					-1	8
1	ENSG00000177000	ENST00000376592	ENSE00001225797	11852335	11852436					-1	9
1	ENSG00000177000	ENST00000376592	ENSE00001225788	11851264	11851383					-1	10
1	ENSG00000177000	ENST00000376592	ENSE00001471053	11845780	11850955			11845780	11850736	-1	11
1	ENSG00000177000	ENST00000376590	ENSE00001471029	11865945	11866115	11865945	11866115			-1	1
1	ENSG00000177000	ENST00000376590	ENSE00003529876	11862938	11863186	11863174	11863186			-1	2
1	ENSG00000177000	ENST00000376590	ENSE00001225848	11861218	11861456					-1	3
1	ENSG00000177000	ENST00000376590	ENSE00001225838	11860269	11860379					-1	4
1	ENSG00000177000	ENST00000376590	ENSE00001225832	11856263	11856456					-1	5
1	ENSG00000177000	ENST00000376590	ENSE00001225825	11855155	11855405					-1	6
1	ENSG00000177000	ENST00000376590	ENSE00001225817	11854786	11854920					-1	7
1	ENSG00000177000	ENST00000376590	ENSE00001225813	11854415	11854595					-1	8
1	ENSG00000177000	ENST00000376590	ENSE00001225805	11853964	11854146					-1	9
1	ENSG00000177000	ENST00000376590	ENSE00001225797	11852335	11852436					-1	10
1	ENSG00000177000	ENST00000376590	ENSE00001225788	11851264	11851383					-1	11
1	ENSG00000177000	ENST00000376590	ENSE00001880056	11846660	11850955			11846660	11850736	-1	12
1	ENSG00000177000	ENST00000376585	ENSE00001471002	11865437	11865470	11865437	11865470			-1	1
1	ENSG00000177000	ENST00000376585	ENSE00001471001	11863462	11864589	11863572	11864589			-1	2
1	ENSG00000177000	ENST00000376585	ENSE00003566290	11862938	11863186					-1	3
1	ENSG00000177000	ENST00000376585	ENSE00001225848	11861218	11861456					-1	4
1	ENSG00000177000	ENST00000376585	ENSE00001225838	11860269	11860379					-1	5
1	ENSG00000177000	ENST00000376585	ENSE00001225832	11856263	11856456					-1	6
1	ENSG00000177000	ENST00000376585	ENSE00001225825	11855155	11855405					-1	7
1	ENSG00000177000	ENST00000376585	ENSE00001225817	11854786	11854920					-1	8
1	ENSG00000177000	ENST00000376585	ENSE00001225813	11854415	11854595					-1	9
1	ENSG00000177000	ENST00000376585	ENSE00001225805	11853964	11854146					-1	10
1	ENSG00000177000	ENST00000376585	ENSE00001225797	11852335	11852436					-1	11
1	ENSG00000177000	ENST00000376585	ENSE00001225788	11851264	11851383					-1	12
1	ENSG00000177000	ENST00000376585	ENSE00001470996	11848351	11850955			11848351	11850736	-1	13
1	ENSG00000177000	ENST00000418034	ENSE00001704796	11865404	11865993	11865404	11865993			-1	1
1	ENSG00000177000	ENST00000418034	ENSE00003529876	11862938	11863186	11863174	11863186			-1	2
1	ENSG00000177000	ENST00000418034	ENSE00001608282	11861262	11861456					-1	3
1	ENSG00000177000	ENST00000413656	ENSE00001670895	11865056	11865351	11865056	11865351			-1	1
1	ENSG00000177000	ENST00000413656	ENSE00001733632	11863085	11863186	11863174	11863186			-1	2
1	ENSG00000177000	ENST00000423400	ENSE00001471002	11865437	11865470	11865437	11865470			-1	1
1	ENSG00000177000	ENST00000423400	ENSE00001618016	11863085	11864589	11863243	11864589			-1	2
1	ENSG00000177000	ENST00000431243	ENSE00001471002	11865437	11865470	11865437	11865470			-1	1
1	ENSG00000177000	ENST00000431243	ENSE00001739429	11863856	11864589	11863856	11864589			-1	2
1	ENSG00000177000	ENST00000431243	ENSE00001733632	11863085	11863186	11863174	11863186			-1	3
1	ENSG00000177000	ENST00000376486	ENSE00001470707	11865945	11866977	11865945	11866977			-1	1
1	ENSG00000177000	ENST00000376486	ENSE00001733632	11863085	11863186	11863174	11863186			-1	2
1	ENSG00000177000	ENST00000376583	ENSE00001470989	11863462	11863571					-1	1
1	ENSG00000177000	ENST00000376583	ENSE00003566290	11862938	11863186					-1	2
1	ENSG00000177000	ENST00000376583	ENSE00001225848	11861218	11861456					-1	3
1	ENSG00000177000	ENST00000376583	ENSE00001225838	11860269	11860379					-1	4
1	ENSG00000177000	ENST00000376583	ENSE00001225832	11856263	11856456					-1	5
1	ENSG00000177000	ENST00000376583	ENSE00001225825	11855155	11855405					-1	6
1	ENSG00000177000	ENST00000376583	ENSE00001225817	11854786	11854920					-1	7
1	ENSG00000177000	ENST00000376583	ENSE00001225813	11854415	11854595					-1	8
1	ENSG00000177000	ENST00000376583	ENSE00001225805	11853964	11854146					-1	9
1	ENSG00000177000	ENST00000376583	ENSE00001225797	11852335	11852436					-1	10
1	ENSG00000177000	ENST00000376583	ENSE00001225788	11851264	11851383					-1	11
1	ENSG00000177000	ENST00000376583	ENSE00001471020	11845810	11850955			11845810	11850736	-1	12
5	ENSG00000228716	ENST00000439211	ENSE00001752304	79950223	79950802	79950309	79950802			-1	1
5	ENSG00000228716	ENST00000439211	ENSE00001594858	79949827	79949876					-1	2
5	ENSG00000228716	ENST00000439211	ENSE00003645386	79945208	79945313					-1	3
5	ENSG00000228716	ENST00000439211	ENSE00003668681	79933702	79933828					-1	4
5	ENSG00000228716	ENST00000439211	ENSE00003465725	79929696	79929811					-1	5
5	ENSG00000228716	ENST00000439211	ENSE00001563315	79922047	79924984			79922047	79924905	-1	6
5	ENSG00000228716	ENST00000505337	ENSE00002061093	79950223	79950493	79950309	79950493			-1	1
5	ENSG00000228716	ENST00000505337	ENSE00001594858	79949827	79949876					-1	2
5	ENSG00000228716	ENST00000505337	ENSE00003645386	79945208	79945313					-1	3
5	ENSG00000228716	ENST00000505337	ENSE00003668681	79933702	79933828					-1	4
5	ENSG00000228716	ENST00000505337	ENSE00003465725	79929696	79929811					-1	5
5	ENSG00000228716	ENST00000505337	ENSE00002082987	79924858	79924984			79924858	79924905	-1	6
5	ENSG00000228716	ENST00000505337	ENSE00002040068	79923836	79924757			79923836	79924757	-1	7
5	ENSG00000228716	ENST00000511032	ENSE00002066165	79950223	79950371	79950309	79950371			-1	1
5	ENSG00000228716	ENST00000511032	ENSE00001594858	79949827	79949876					-1	2
5	ENSG00000228716	ENST00000511032	ENSE00003645386	79945208	79945313					-1	3
5	ENSG00000228716	ENST00000511032	ENSE00003668681	79933702	79933828					-1	4
5	ENSG00000228716	ENST00000511032	ENSE00002041693	79923943	79924984			79923943	79924963	-1	5
5	ENSG00000228716	ENST00000504396	ENSE00002043189	79950223	79950377	79950223	79950377			-1	1
5	ENSG00000228716	ENST00000504396	ENSE00003602402	79945208	79945313	79945294	79945313			-1	2
5	ENSG00000228716	ENST00000504396	ENSE00003668681	79933702	79933828					-1	3
5	ENSG00000228716	ENST00000504396	ENSE00003465725	79929696	79929811					-1	4
