Chromosome/scaffold name	Gene stable ID	Transcript stable ID	Transcript start (bp)	Transcript end (bp)	RefSeq mRNA ID	RefSeq mRNA predicted ID	RefSeq ncRNA ID	Transcript length (including UTRs and CDS)
1	ENSG00000177000	ENST00000376592	11845780	11863302		XM_005263461		7057
1	ENSG00000177000	ENST00000376592	11845780	11863302		XM_005263460		7057
1	ENSG00000177000	ENST00000376590	11846660	11866115	NM_005957	XM_005263463		6232
1	ENSG00000177000	ENST00000376590	11846660	11866115	NM_005957	XM_005263462		6232
1	ENSG00000177000	ENST00000376590	11846660	11866115	NM_005957	XM_005263461		6232
1	ENSG00000177000	ENST00000376585	11848351	11865470				5532
1	ENSG00000177000	ENST00000418034	11861262	11865993				1034
1	ENSG00000177000	ENST00000413656	11863085	11865351				398
1	ENSG00000177000	ENST00000423400	11863085	11865470				1539
1	ENSG00000177000	ENST00000431243	11863085	11865470				870
1	ENSG00000177000	ENST00000376486	11863085	11866977				1135
1	ENSG00000177000	ENST00000376583	11845810	11863571		XM_005263461		7021
5	ENSG00000228716	ENST00000439211	79922047	79950802	NM_000791	XM_005248456		3917
5	ENSG00000228716	ENST00000439211	79922047	79950802	NM_000791	XM_005248455		3917
5	ENSG00000228716	ENST00000505337	79923836	79950493				1719
5	ENSG00000228716	ENST00000511032	79923943	79950371				1474
5	ENSG00000228716	ENST00000504396	79924042	79950377				1447
5	ENSG00000228716	ENST00000513048	79924357	79950366				994
5	ENSG00000228716	ENST00000508282	79924883	79949920				545
5	ENSG00000228716	ENST00000513314	79944760	79949854				582
11	ENSG00000110195	ENST00000312293	71900602	71907344	NM_016725			1107
11	ENSG00000110195	ENST00000393681	71900712	71907342	NM_016724			1061
11	ENSG00000110195	ENST00000393679	71901258	71907342				1331
11	ENSG00000110195	ENST00000393676	71903169	71907345	NM_016729			947
11	ENSG00000110195	ENST00000393676	71903169	71907345	NM_000802			947
17	ENSG00000076351	ENST00000584729	26721775	26733228				6374
17	ENSG00000076351	ENST00000583295	26722695	26733219				5361
17	ENSG00000076351	ENST00000582735	26726362	26731839				574
17	ENSG00000076351	ENST00000582345	26727534	26728063				530
17	ENSG00000076351	ENST00000578217	26731258	26732765				596
17	ENSG00000076351	ENST00000582590	26731334	26733186				1435
17	ENSG00000076351	ENST00000584995	26731742	26733648				1030
17	ENSG00000076351	ENST00000584426	26732066	26733617				564
17	ENSG00000076351	ENST00000581516	26732395	26734215				844
17	ENSG00000076351	ENST00000440501	26721661	26733228	NM_080669			6487
17	ENSG00000076351	ENST00000321666	26721661	26733228	NM_001242366			6400
